ID,Type,Year,Quarter,HFCE (in million pesos),GVA (in million pesos)
1,Food and non-alcoholic beverages,2000,Q1,423665,88010
2,Food and non-alcoholic beverages,2000,Q2,449587,88010
3,Food and non-alcoholic beverages,2000,Q3,450837,88010
4,Food and non-alcoholic beverages,2000,Q4,535605,88010
5,Food and non-alcoholic beverages,2001,Q1,437333,89145
6,Food and non-alcoholic beverages,2001,Q2,462179,94706
7,Food and non-alcoholic beverages,2001,Q3,469641,86469
8,Food and non-alcoholic beverages,2001,Q4,549649,95587
9,Food and non-alcoholic beverages,2002,Q1,448135,91689
10,Food and non-alcoholic beverages,2002,Q2,486702,97367
11,Food and non-alcoholic beverages,2002,Q3,489892,89680
12,Food and non-alcoholic beverages,2002,Q4,582316,98521
13,Food and non-alcoholic beverages,2003,Q1,477252,93035
14,Food and non-alcoholic beverages,2003,Q2,520162,97915
15,Food and non-alcoholic beverages,2003,Q3,524456,92709
16,Food and non-alcoholic beverages,2003,Q4,620646,101905
17,Food and non-alcoholic beverages,2004,Q1,511668,98238
18,Food and non-alcoholic beverages,2004,Q2,546098,104987
19,Food and non-alcoholic beverages,2004,Q3,557059,98764
20,Food and non-alcoholic beverages,2004,Q4,660502,102974
21,Food and non-alcoholic beverages,2005,Q1,548599,103561
22,Food and non-alcoholic beverages,2005,Q2,584155,108073
23,Food and non-alcoholic beverages,2005,Q3,588139,99365
24,Food and non-alcoholic beverages,2005,Q4,689083,104195
25,Food and non-alcoholic beverages,2006,Q1,568915,106893
26,Food and non-alcoholic beverages,2006,Q2,616342,113052
27,Food and non-alcoholic beverages,2006,Q3,609338,104132
28,Food and non-alcoholic beverages,2006,Q4,723959,109051
29,Food and non-alcoholic beverages,2007,Q1,583249,110747
30,Food and non-alcoholic beverages,2007,Q2,642173,113898
31,Food and non-alcoholic beverages,2007,Q3,624806,109104
32,Food and non-alcoholic beverages,2007,Q4,769100,113284
33,Food and non-alcoholic beverages,2008,Q1,612423,116295
34,Food and non-alcoholic beverages,2008,Q2,659462,122233
35,Food and non-alcoholic beverages,2008,Q3,653092,114443
36,Food and non-alcoholic beverages,2008,Q4,802253,119391
37,Food and non-alcoholic beverages,2009,Q1,615292,121836
38,Food and non-alcoholic beverages,2009,Q2,692122,134980
39,Food and non-alcoholic beverages,2009,Q3,668043,124649
40,Food and non-alcoholic beverages,2009,Q4,834585,118040
41,Food and non-alcoholic beverages,2010,Q1,639868,127202
42,Food and non-alcoholic beverages,2010,Q2,705532,141846
43,Food and non-alcoholic beverages,2010,Q3,675545,120435
44,Food and non-alcoholic beverages,2010,Q4,878615,117517
45,Food and non-alcoholic beverages,2011,Q1,677040,128932
46,Food and non-alcoholic beverages,2011,Q2,745151,144947
47,Food and non-alcoholic beverages,2011,Q3,738870,123036
48,Food and non-alcoholic beverages,2011,Q4,912114,123436
49,Food and non-alcoholic beverages,2012,Q1,731346,132059
50,Food and non-alcoholic beverages,2012,Q2,805192,149305
51,Food and non-alcoholic beverages,2012,Q3,773345,122069
52,Food and non-alcoholic beverages,2012,Q4,960484,125091
53,Food and non-alcoholic beverages,2013,Q1,776755,130618
54,Food and non-alcoholic beverages,2013,Q2,843898,154779
55,Food and non-alcoholic beverages,2013,Q3,825336,129562
56,Food and non-alcoholic beverages,2013,Q4,1014632,132333
57,Food and non-alcoholic beverages,2014,Q1,813527,133101
58,Food and non-alcoholic beverages,2014,Q2,876162,159908
59,Food and non-alcoholic beverages,2014,Q3,852033,131335
60,Food and non-alcoholic beverages,2014,Q4,1071835,133051
61,Food and non-alcoholic beverages,2015,Q1,851115,145787
62,Food and non-alcoholic beverages,2015,Q2,933286,169230
63,Food and non-alcoholic beverages,2015,Q3,896797,137781
64,Food and non-alcoholic beverages,2015,Q4,1142641,136804
65,Food and non-alcoholic beverages,2016,Q1,905304,151630
66,Food and non-alcoholic beverages,2016,Q2,1000300,181355
67,Food and non-alcoholic beverages,2016,Q3,970620,148338
68,Food and non-alcoholic beverages,2016,Q4,1210692,145789
69,Food and non-alcoholic beverages,2017,Q1,956717,165036
70,Food and non-alcoholic beverages,2017,Q2,1059166,192050
71,Food and non-alcoholic beverages,2017,Q3,1013129,163398
72,Food and non-alcoholic beverages,2017,Q4,1275330,151353
73,Food and non-alcoholic beverages,2018,Q1,1006691,173982
74,Food and non-alcoholic beverages,2018,Q2,1132968,202749
75,Food and non-alcoholic beverages,2018,Q3,1045323,181589
76,Food and non-alcoholic beverages,2018,Q4,1338921,173287
77,Food and non-alcoholic beverages,2019,Q1,1065738,180592
78,Food and non-alcoholic beverages,2019,Q2,1195240,224097
79,Food and non-alcoholic beverages,2019,Q3,1091080,182963
80,Food and non-alcoholic beverages,2019,Q4,1402836,178437
81,Food and non-alcoholic beverages,2020,Q1,1116360,184015
82,Food and non-alcoholic beverages,2020,Q2,1250583,192942
83,Food and non-alcoholic beverages,2020,Q3,1145023,153300
84,Food and non-alcoholic beverages,2020,Q4,1476522,157353
85,Food and non-alcoholic beverages,2021,Q1,1143280,184300
86,Food and non-alcoholic beverages,2021,Q2,1285705,216890
87,Food and non-alcoholic beverages,2021,Q3,1178278,173902
88,Food and non-alcoholic beverages,2021,Q4,1552718,169067
89,Food and non-alcoholic beverages,2022,Q1,1256130,199045
90,Food and non-alcoholic beverages,2022,Q2,1357980,227947
91,Food and non-alcoholic beverages,2022,Q3,1227510,183821
92,Food and non-alcoholic beverages,2022,Q4,1613838,185341
93,Food and non-alcoholic beverages,2023,Q1,1265574,211854
94,Food and non-alcoholic beverages,2023,Q2,1362290,241975
95,Food and non-alcoholic beverages,2023,Q3,1230791,193200
96,Food and non-alcoholic beverages,2023,Q4,1626806,197688
97,Food and non-alcoholic beverages,2024,Q1,1271433,223050
98,Food and non-alcoholic beverages,2024,Q2,1370268,246599
99,Food and non-alcoholic beverages,2024,Q3,1270362,201200
100,Food and non-alcoholic beverages,2024,Q4,1650790,211202
101,Food and non-alcoholic beverages,2025,Q1,1332005,237869
102,Food and non-alcoholic beverages,2025,Q2,1448071,275624
103,Food and non-alcoholic beverages,2025,Q3,,
104,Food and non-alcoholic beverages,2025,Q4,,
105,"Alcoholic beverages, tobacco",2000,Q1,42310,88010
106,"Alcoholic beverages, tobacco",2000,Q2,48905,88010
107,"Alcoholic beverages, tobacco",2000,Q3,50971,88010
108,"Alcoholic beverages, tobacco",2000,Q4,50779,88010
109,"Alcoholic beverages, tobacco",2001,Q1,43624,89145
110,"Alcoholic beverages, tobacco",2001,Q2,49779,94706
111,"Alcoholic beverages, tobacco",2001,Q3,52266,86469
112,"Alcoholic beverages, tobacco",2001,Q4,52345,95587
113,"Alcoholic beverages, tobacco",2002,Q1,44997,91689
114,"Alcoholic beverages, tobacco",2002,Q2,51428,97367
115,"Alcoholic beverages, tobacco",2002,Q3,54240,89680
116,"Alcoholic beverages, tobacco",2002,Q4,54436,98521
117,"Alcoholic beverages, tobacco",2003,Q1,47142,93035
118,"Alcoholic beverages, tobacco",2003,Q2,52999,97915
119,"Alcoholic beverages, tobacco",2003,Q3,55741,92709
120,"Alcoholic beverages, tobacco",2003,Q4,56648,101905
121,"Alcoholic beverages, tobacco",2004,Q1,49255,98238
122,"Alcoholic beverages, tobacco",2004,Q2,56183,104987
123,"Alcoholic beverages, tobacco",2004,Q3,57592,98764
124,"Alcoholic beverages, tobacco",2004,Q4,58963,102974
125,"Alcoholic beverages, tobacco",2005,Q1,51185,103561
126,"Alcoholic beverages, tobacco",2005,Q2,57698,108073
127,"Alcoholic beverages, tobacco",2005,Q3,57252,99365
128,"Alcoholic beverages, tobacco",2005,Q4,58166,104195
129,"Alcoholic beverages, tobacco",2006,Q1,52342,106893
130,"Alcoholic beverages, tobacco",2006,Q2,59410,113052
131,"Alcoholic beverages, tobacco",2006,Q3,59978,104132
132,"Alcoholic beverages, tobacco",2006,Q4,58971,109051
133,"Alcoholic beverages, tobacco",2007,Q1,53697,110747
134,"Alcoholic beverages, tobacco",2007,Q2,60133,113898
135,"Alcoholic beverages, tobacco",2007,Q3,62450,109104
136,"Alcoholic beverages, tobacco",2007,Q4,61771,113284
137,"Alcoholic beverages, tobacco",2008,Q1,52775,116295
138,"Alcoholic beverages, tobacco",2008,Q2,62782,122233
139,"Alcoholic beverages, tobacco",2008,Q3,65975,114443
140,"Alcoholic beverages, tobacco",2008,Q4,70708,119391
141,"Alcoholic beverages, tobacco",2009,Q1,51682,121836
142,"Alcoholic beverages, tobacco",2009,Q2,66218,134980
143,"Alcoholic beverages, tobacco",2009,Q3,67980,124649
144,"Alcoholic beverages, tobacco",2009,Q4,75492,118040
145,"Alcoholic beverages, tobacco",2010,Q1,53265,127202
146,"Alcoholic beverages, tobacco",2010,Q2,67049,141846
147,"Alcoholic beverages, tobacco",2010,Q3,63773,120435
148,"Alcoholic beverages, tobacco",2010,Q4,73691,117517
149,"Alcoholic beverages, tobacco",2011,Q1,53822,128932
150,"Alcoholic beverages, tobacco",2011,Q2,67188,144947
151,"Alcoholic beverages, tobacco",2011,Q3,61571,123036
152,"Alcoholic beverages, tobacco",2011,Q4,79713,123436
153,"Alcoholic beverages, tobacco",2012,Q1,56483,132059
154,"Alcoholic beverages, tobacco",2012,Q2,71377,149305
155,"Alcoholic beverages, tobacco",2012,Q3,65497,122069
156,"Alcoholic beverages, tobacco",2012,Q4,84833,125091
157,"Alcoholic beverages, tobacco",2013,Q1,55374,130618
158,"Alcoholic beverages, tobacco",2013,Q2,67435,154779
159,"Alcoholic beverages, tobacco",2013,Q3,66004,129562
160,"Alcoholic beverages, tobacco",2013,Q4,90997,132333
161,"Alcoholic beverages, tobacco",2014,Q1,59388,133101
162,"Alcoholic beverages, tobacco",2014,Q2,77052,159908
163,"Alcoholic beverages, tobacco",2014,Q3,72638,131335
164,"Alcoholic beverages, tobacco",2014,Q4,98962,133051
165,"Alcoholic beverages, tobacco",2015,Q1,68543,145787
166,"Alcoholic beverages, tobacco",2015,Q2,77559,169230
167,"Alcoholic beverages, tobacco",2015,Q3,75512,137781
168,"Alcoholic beverages, tobacco",2015,Q4,101587,136804
169,"Alcoholic beverages, tobacco",2016,Q1,72953,151630
170,"Alcoholic beverages, tobacco",2016,Q2,82515,181355
171,"Alcoholic beverages, tobacco",2016,Q3,80620,148338
172,"Alcoholic beverages, tobacco",2016,Q4,105488,145789
173,"Alcoholic beverages, tobacco",2017,Q1,71863,165036
174,"Alcoholic beverages, tobacco",2017,Q2,83158,192050
175,"Alcoholic beverages, tobacco",2017,Q3,74642,163398
176,"Alcoholic beverages, tobacco",2017,Q4,100597,151353
177,"Alcoholic beverages, tobacco",2018,Q1,67746,173982
178,"Alcoholic beverages, tobacco",2018,Q2,80511,202749
179,"Alcoholic beverages, tobacco",2018,Q3,70835,181589
180,"Alcoholic beverages, tobacco",2018,Q4,94768,173287
181,"Alcoholic beverages, tobacco",2019,Q1,65258,180592
182,"Alcoholic beverages, tobacco",2019,Q2,79207,224097
183,"Alcoholic beverages, tobacco",2019,Q3,70003,182963
184,"Alcoholic beverages, tobacco",2019,Q4,90784,178437
185,"Alcoholic beverages, tobacco",2020,Q1,53646,184015
186,"Alcoholic beverages, tobacco",2020,Q2,46568,192942
187,"Alcoholic beverages, tobacco",2020,Q3,53300,153300
188,"Alcoholic beverages, tobacco",2020,Q4,74022,157353
189,"Alcoholic beverages, tobacco",2021,Q1,47075,184300
190,"Alcoholic beverages, tobacco",2021,Q2,46958,216890
191,"Alcoholic beverages, tobacco",2021,Q3,49598,173902
192,"Alcoholic beverages, tobacco",2021,Q4,66587,169067
193,"Alcoholic beverages, tobacco",2022,Q1,50554,199045
194,"Alcoholic beverages, tobacco",2022,Q2,48416,227947
195,"Alcoholic beverages, tobacco",2022,Q3,43867,183821
196,"Alcoholic beverages, tobacco",2022,Q4,68965,185341
197,"Alcoholic beverages, tobacco",2023,Q1,50281,211854
198,"Alcoholic beverages, tobacco",2023,Q2,44441,241975
199,"Alcoholic beverages, tobacco",2023,Q3,44464,193200
200,"Alcoholic beverages, tobacco",2023,Q4,69400,197688
201,"Alcoholic beverages, tobacco",2024,Q1,49480,223050
202,"Alcoholic beverages, tobacco",2024,Q2,46554,246599
203,"Alcoholic beverages, tobacco",2024,Q3,45988,201200
204,"Alcoholic beverages, tobacco",2024,Q4,71877,211202
205,"Alcoholic beverages, tobacco",2025,Q1,53066,237869
206,"Alcoholic beverages, tobacco",2025,Q2,45849,275624
207,"Alcoholic beverages, tobacco",2025,Q3,,
208,"Alcoholic beverages, tobacco",2025,Q4,,
209,Clothing and footwear,2000,Q1,38728,88010
210,Clothing and footwear,2000,Q2,45919,88010
211,Clothing and footwear,2000,Q3,46470,88010
212,Clothing and footwear,2000,Q4,48838,88010
213,Clothing and footwear,2001,Q1,39465,89145
214,Clothing and footwear,2001,Q2,46861,94706
215,Clothing and footwear,2001,Q3,47524,86469
216,Clothing and footwear,2001,Q4,49888,95587
217,Clothing and footwear,2002,Q1,41117,91689
218,Clothing and footwear,2002,Q2,48913,97367
219,Clothing and footwear,2002,Q3,49767,89680
220,Clothing and footwear,2002,Q4,51748,98521
221,Clothing and footwear,2003,Q1,42231,93035
222,Clothing and footwear,2003,Q2,49731,97915
223,Clothing and footwear,2003,Q3,49647,92709
224,Clothing and footwear,2003,Q4,51863,101905
225,Clothing and footwear,2004,Q1,44474,98238
226,Clothing and footwear,2004,Q2,51684,104987
227,Clothing and footwear,2004,Q3,51089,98764
228,Clothing and footwear,2004,Q4,54471,102974
229,Clothing and footwear,2005,Q1,45917,103561
230,Clothing and footwear,2005,Q2,52252,108073
231,Clothing and footwear,2005,Q3,49363,99365
232,Clothing and footwear,2005,Q4,55528,104195
233,Clothing and footwear,2006,Q1,44007,106893
234,Clothing and footwear,2006,Q2,53554,113052
235,Clothing and footwear,2006,Q3,49230,104132
236,Clothing and footwear,2006,Q4,57567,109051
237,Clothing and footwear,2007,Q1,46853,110747
238,Clothing and footwear,2007,Q2,54264,113898
239,Clothing and footwear,2007,Q3,49770,109104
240,Clothing and footwear,2007,Q4,57557,113284
241,Clothing and footwear,2008,Q1,49114,116295
242,Clothing and footwear,2008,Q2,56207,122233
243,Clothing and footwear,2008,Q3,53106,114443
244,Clothing and footwear,2008,Q4,59128,119391
245,Clothing and footwear,2009,Q1,49096,121836
246,Clothing and footwear,2009,Q2,59059,134980
247,Clothing and footwear,2009,Q3,53379,124649
248,Clothing and footwear,2009,Q4,57501,118040
249,Clothing and footwear,2010,Q1,50846,127202
250,Clothing and footwear,2010,Q2,60907,141846
251,Clothing and footwear,2010,Q3,54062,120435
252,Clothing and footwear,2010,Q4,61460,117517
253,Clothing and footwear,2011,Q1,53776,128932
254,Clothing and footwear,2011,Q2,61673,144947
255,Clothing and footwear,2011,Q3,56888,123036
256,Clothing and footwear,2011,Q4,64024,123436
257,Clothing and footwear,2012,Q1,55178,132059
258,Clothing and footwear,2012,Q2,64721,149305
259,Clothing and footwear,2012,Q3,58568,122069
260,Clothing and footwear,2012,Q4,64772,125091
261,Clothing and footwear,2013,Q1,57126,130618
262,Clothing and footwear,2013,Q2,61596,154779
263,Clothing and footwear,2013,Q3,60488,129562
264,Clothing and footwear,2013,Q4,67746,132333
265,Clothing and footwear,2014,Q1,63459,133101
266,Clothing and footwear,2014,Q2,63700,159908
267,Clothing and footwear,2014,Q3,60839,131335
268,Clothing and footwear,2014,Q4,71872,133051
269,Clothing and footwear,2015,Q1,55494,145787
270,Clothing and footwear,2015,Q2,60633,169230
271,Clothing and footwear,2015,Q3,63535,137781
272,Clothing and footwear,2015,Q4,75710,136804
273,Clothing and footwear,2016,Q1,53011,151630
274,Clothing and footwear,2016,Q2,59221,181355
275,Clothing and footwear,2016,Q3,60592,148338
276,Clothing and footwear,2016,Q4,74725,145789
277,Clothing and footwear,2017,Q1,56466,165036
278,Clothing and footwear,2017,Q2,59071,192050
279,Clothing and footwear,2017,Q3,60087,163398
280,Clothing and footwear,2017,Q4,75138,151353
281,Clothing and footwear,2018,Q1,56870,173982
282,Clothing and footwear,2018,Q2,57975,202749
283,Clothing and footwear,2018,Q3,59645,181589
284,Clothing and footwear,2018,Q4,75449,173287
285,Clothing and footwear,2019,Q1,59216,180592
286,Clothing and footwear,2019,Q2,61129,224097
287,Clothing and footwear,2019,Q3,61281,182963
288,Clothing and footwear,2019,Q4,77924,178437
289,Clothing and footwear,2020,Q1,59285,184015
290,Clothing and footwear,2020,Q2,36527,192942
291,Clothing and footwear,2020,Q3,52720,153300
292,Clothing and footwear,2020,Q4,67231,157353
293,Clothing and footwear,2021,Q1,50555,184300
294,Clothing and footwear,2021,Q2,53519,216890
295,Clothing and footwear,2021,Q3,67403,173902
296,Clothing and footwear,2021,Q4,73008,169067
297,Clothing and footwear,2022,Q1,54768,199045
298,Clothing and footwear,2022,Q2,56337,227947
299,Clothing and footwear,2022,Q3,65496,183821
300,Clothing and footwear,2022,Q4,80474,185341
301,Clothing and footwear,2023,Q1,53153,211854
302,Clothing and footwear,2023,Q2,41158,241975
303,Clothing and footwear,2023,Q3,59280,193200
304,Clothing and footwear,2023,Q4,78853,197688
305,Clothing and footwear,2024,Q1,53410,223050
306,Clothing and footwear,2024,Q2,39263,246599
307,Clothing and footwear,2024,Q3,62339,201200
308,Clothing and footwear,2024,Q4,81273,211202
309,Clothing and footwear,2025,Q1,55499,237869
310,Clothing and footwear,2025,Q2,40789,275624
311,Clothing and footwear,2025,Q3,,
312,Clothing and footwear,2025,Q4,,
313,"Housing, water, electricity, gas and other fuels",2000,Q1,157847,88010
314,"Housing, water, electricity, gas and other fuels",2000,Q2,176752,88010
315,"Housing, water, electricity, gas and other fuels",2000,Q3,170154,88010
316,"Housing, water, electricity, gas and other fuels",2000,Q4,159517,88010
317,"Housing, water, electricity, gas and other fuels",2001,Q1,165114,89145
318,"Housing, water, electricity, gas and other fuels",2001,Q2,183939,94706
319,"Housing, water, electricity, gas and other fuels",2001,Q3,176590,86469
320,"Housing, water, electricity, gas and other fuels",2001,Q4,165989,95587
321,"Housing, water, electricity, gas and other fuels",2002,Q1,160650,91689
322,"Housing, water, electricity, gas and other fuels",2002,Q2,186133,97367
323,"Housing, water, electricity, gas and other fuels",2002,Q3,179486,89680
324,"Housing, water, electricity, gas and other fuels",2002,Q4,168999,98521
325,"Housing, water, electricity, gas and other fuels",2003,Q1,173157,93035
326,"Housing, water, electricity, gas and other fuels",2003,Q2,198936,97915
327,"Housing, water, electricity, gas and other fuels",2003,Q3,188607,92709
328,"Housing, water, electricity, gas and other fuels",2003,Q4,176054,101905
329,"Housing, water, electricity, gas and other fuels",2004,Q1,179195,98238
330,"Housing, water, electricity, gas and other fuels",2004,Q2,202909,104987
331,"Housing, water, electricity, gas and other fuels",2004,Q3,193890,98764
332,"Housing, water, electricity, gas and other fuels",2004,Q4,183649,102974
333,"Housing, water, electricity, gas and other fuels",2005,Q1,189028,103561
334,"Housing, water, electricity, gas and other fuels",2005,Q2,221286,108073
335,"Housing, water, electricity, gas and other fuels",2005,Q3,212160,99365
336,"Housing, water, electricity, gas and other fuels",2005,Q4,196929,104195
337,"Housing, water, electricity, gas and other fuels",2006,Q1,197006,106893
338,"Housing, water, electricity, gas and other fuels",2006,Q2,230205,113052
339,"Housing, water, electricity, gas and other fuels",2006,Q3,213608,104132
340,"Housing, water, electricity, gas and other fuels",2006,Q4,205863,109051
341,"Housing, water, electricity, gas and other fuels",2007,Q1,208162,110747
342,"Housing, water, electricity, gas and other fuels",2007,Q2,242271,113898
343,"Housing, water, electricity, gas and other fuels",2007,Q3,229549,109104
344,"Housing, water, electricity, gas and other fuels",2007,Q4,212949,113284
345,"Housing, water, electricity, gas and other fuels",2008,Q1,219868,116295
346,"Housing, water, electricity, gas and other fuels",2008,Q2,249177,122233
347,"Housing, water, electricity, gas and other fuels",2008,Q3,236850,114443
348,"Housing, water, electricity, gas and other fuels",2008,Q4,223141,119391
349,"Housing, water, electricity, gas and other fuels",2009,Q1,233674,121836
350,"Housing, water, electricity, gas and other fuels",2009,Q2,249238,134980
351,"Housing, water, electricity, gas and other fuels",2009,Q3,228289,124649
352,"Housing, water, electricity, gas and other fuels",2009,Q4,222243,118040
353,"Housing, water, electricity, gas and other fuels",2010,Q1,243405,127202
354,"Housing, water, electricity, gas and other fuels",2010,Q2,250917,141846
355,"Housing, water, electricity, gas and other fuels",2010,Q3,232006,120435
356,"Housing, water, electricity, gas and other fuels",2010,Q4,235306,117517
357,"Housing, water, electricity, gas and other fuels",2011,Q1,247732,128932
358,"Housing, water, electricity, gas and other fuels",2011,Q2,260932,144947
359,"Housing, water, electricity, gas and other fuels",2011,Q3,231562,123036
360,"Housing, water, electricity, gas and other fuels",2011,Q4,249327,123436
361,"Housing, water, electricity, gas and other fuels",2012,Q1,260637,132059
362,"Housing, water, electricity, gas and other fuels",2012,Q2,270191,149305
363,"Housing, water, electricity, gas and other fuels",2012,Q3,255242,122069
364,"Housing, water, electricity, gas and other fuels",2012,Q4,264291,125091
365,"Housing, water, electricity, gas and other fuels",2013,Q1,262305,130618
366,"Housing, water, electricity, gas and other fuels",2013,Q2,292900,154779
367,"Housing, water, electricity, gas and other fuels",2013,Q3,283863,129562
368,"Housing, water, electricity, gas and other fuels",2013,Q4,286095,132333
369,"Housing, water, electricity, gas and other fuels",2014,Q1,275121,133101
370,"Housing, water, electricity, gas and other fuels",2014,Q2,308265,159908
371,"Housing, water, electricity, gas and other fuels",2014,Q3,299385,131335
372,"Housing, water, electricity, gas and other fuels",2014,Q4,303652,133051
373,"Housing, water, electricity, gas and other fuels",2015,Q1,291300,145787
374,"Housing, water, electricity, gas and other fuels",2015,Q2,328046,169230
375,"Housing, water, electricity, gas and other fuels",2015,Q3,300527,137781
376,"Housing, water, electricity, gas and other fuels",2015,Q4,307611,136804
377,"Housing, water, electricity, gas and other fuels",2016,Q1,322037,151630
378,"Housing, water, electricity, gas and other fuels",2016,Q2,349833,181355
379,"Housing, water, electricity, gas and other fuels",2016,Q3,315057,148338
380,"Housing, water, electricity, gas and other fuels",2016,Q4,328936,145789
381,"Housing, water, electricity, gas and other fuels",2017,Q1,339302,165036
382,"Housing, water, electricity, gas and other fuels",2017,Q2,370699,192050
383,"Housing, water, electricity, gas and other fuels",2017,Q3,335897,163398
384,"Housing, water, electricity, gas and other fuels",2017,Q4,363930,151353
385,"Housing, water, electricity, gas and other fuels",2018,Q1,370453,173982
386,"Housing, water, electricity, gas and other fuels",2018,Q2,404525,202749
387,"Housing, water, electricity, gas and other fuels",2018,Q3,365616,181589
388,"Housing, water, electricity, gas and other fuels",2018,Q4,384536,173287
389,"Housing, water, electricity, gas and other fuels",2019,Q1,394240,180592
390,"Housing, water, electricity, gas and other fuels",2019,Q2,426008,224097
391,"Housing, water, electricity, gas and other fuels",2019,Q3,393878,182963
392,"Housing, water, electricity, gas and other fuels",2019,Q4,406111,178437
393,"Housing, water, electricity, gas and other fuels",2020,Q1,403692,184015
394,"Housing, water, electricity, gas and other fuels",2020,Q2,457352,192942
395,"Housing, water, electricity, gas and other fuels",2020,Q3,421121,153300
396,"Housing, water, electricity, gas and other fuels",2020,Q4,431617,157353
397,"Housing, water, electricity, gas and other fuels",2021,Q1,402798,184300
398,"Housing, water, electricity, gas and other fuels",2021,Q2,487550,216890
399,"Housing, water, electricity, gas and other fuels",2021,Q3,434548,173902
400,"Housing, water, electricity, gas and other fuels",2021,Q4,443648,169067
401,"Housing, water, electricity, gas and other fuels",2022,Q1,425390,199045
402,"Housing, water, electricity, gas and other fuels",2022,Q2,522473,227947
403,"Housing, water, electricity, gas and other fuels",2022,Q3,440354,183821
404,"Housing, water, electricity, gas and other fuels",2022,Q4,462970,185341
